Al,Co,Cr,Cu,Fe,Hf,Mn,Mo,Nb,Ni,Si,Ta,Ti,V,W,Zr,Phase
16.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,FCC+BCC
10.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,FCC+BCC
0.0,5.0,2.0,0.0,40.0,0.0,27.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
2.0,19.6,19.6,0.0,19.6,0.0,19.6,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,FCC
3.0,19.4,19.4,0.0,19.4,0.0,19.4,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,FCC
4.0,19.2,19.2,0.0,19.2,0.0,19.2,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,FCC
7.0,18.6,18.6,0.0,18.6,0.0,18.6,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,FCC
8.0,18.4,18.4,0.0,18.4,0.0,18.4,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,FCC
9.0,18.2,18.2,0.0,18.2,0.0,18.2,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
10.0,18.0,18.0,0.0,18.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
11.0,17.8,17.8,0.0,17.8,0.0,17.8,0.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
12.0,17.6,17.6,0.0,17.6,0.0,17.6,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,BCC
13.0,17.4,17.4,0.0,17.4,0.0,17.4,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,BCC
14.0,17.2,17.2,0.0,17.2,0.0,17.2,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,BCC
15.0,17.0,17.0,0.0,17.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC
16.0,16.8,16.8,0.0,16.8,0.0,16.8,0.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,BCC
20.0,16.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC
0.0,18.18181818,18.18181818,18.18181818,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,9.090909091,0.0,0.0,0.0,FCC
0.0,17.24137931,17.24137931,17.24137931,17.24137931,0.0,0.0,0.0,0.0,17.24137931,0.0,0.0,13.79310345,0.0,0.0,0.0,FCC+Laves phase
0.0,16.66666667,16.66666667,16.66666667,16.66666667,0.0,0.0,0.0,0.0,16.66666667,0.0,0.0,16.66666667,0.0,0.0,0.0,FCC+Laves phase
17.39130435,17.39130435,17.39130435,4.347826087,17.39130435,0.0,0.0,0.0,0.0,17.39130435,0.0,0.0,8.695652174,0.0,0.0,0.0,BCC1+BCC2
16.66666667,16.66666667,16.66666667,8.333333333,16.66666667,0.0,0.0,0.0,0.0,16.66666667,0.0,0.0,8.333333333,0.0,0.0,0.0,BCC1+BCC2
14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,0.0,0.0,0.0,0.0,14.28571429,0.0,0.0,0.0,14.28571429,0.0,0.0,FCC+BCC
3.846153846,19.23076923,19.23076923,0.0,19.23076923,0.0,19.23076923,0.0,0.0,19.23076923,0.0,0.0,0.0,0.0,0.0,0.0,FCC
6.52173913,21.73913043,21.73913043,6.52173913,21.73913043,0.0,0.0,0.0,0.0,21.73913043,0.0,0.0,0.0,0.0,0.0,0.0,FCC
7.5,25.0,0.0,17.5,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
12.19512195,0.0,21.95121951,0.0,0.0,0.0,0.0,0.0,0.0,60.97560976,0.0,0.0,0.0,4.87804878,0.0,0.0,FCC
18.0,30.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,FCC+BCC
0.0,24.3902439,24.3902439,0.0,24.3902439,0.0,0.0,2.43902439,0.0,24.3902439,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,24.33090024,24.33090024,0.0,24.33090024,0.0,0.0,2.676399027,0.0,24.33090024,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,23.92344498,23.92344498,0.0,23.92344498,0.0,0.0,4.306220096,0.0,23.92344498,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,23.80952381,23.80952381,0.0,23.80952381,0.0,0.0,4.761904762,0.0,23.80952381,0.0,0.0,0.0,0.0,0.0,0.0,FCC
